#NAME?,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,MoM,YoY 
Evaporated tinned milk carnation 170g,127.04,133.44,131.99,132,140.11,141.06,140.58,150.11,160,160,161.12,150,160,146.28,146.28,150,150.77,150.67,150.67,150.67,160,155.32,160,162,160,161.02,166.58,169.31,166.89,169.25,160.55,160,165.45,162.34,160,140,140,140,140,165,150,160,165,166.67,170,170,175,180,180,186,188,191,192,193.45,196.35,200,1.86,20
"Evaporated tinned milk(peak), 170g",154.03,169.33,170,200,201.25,203.75,202.5,192.86,210,200,187.69,175.29,188.57,198,176.25,179.09,180.25,186,187.14,168.33,185,166,175.71,177,185.71,190,185.71,191.25,196,197.25,198.03,167,177.62,180.14,147.14,148.89,150.89,148,151.76,197.27,192.86,195.77,198,197.64,197.75,195.82,197,199,197.75,201.75,202.22,214.29,218.46,220,221.25,222.35,0.5,12.51
Frozen chicken,1640.48,1600,1700.32,1800,1800.45,1800,1800.23,1700.69,1720,1700,1700,1100,1500,1500,1400,1400,1450,1490,1500,1500,1533.33,1500,1925,1955,1900,2000,2000,2103.33,2133.33,2178.33,2198.33,2166.66,2200.15,2400,2418,2450,2400.99,2350,2366.67,2386.67,2360,2400,2353.33,2375,2383.33,2386.67,2298,2300,2270.67,2316.67,2275,2235.33,2200,2266.67,2300,2366.67,2.9,-0.35
"Gari white,sold loose",215.51,214.17,269.24,285.71,294.44,297.5,315.63,343.75,345.85,323.75,298.18,263.87,256.25,235.71,220.83,275.5,248.23,258.33,250,254.17,227.56,258.33,238.89,207.14,200,186.64,181.12,170.24,172.14,132.14,142.14,145.12,140.83,160.63,131.45,155.56,160.15,179.01,168.4,175.61,165.39,164.29,168.33,160.21,165.71,172.19,173.72,175,170.71,190.71,191.11,205.5,202.3,219.38,238.38,249.09,4.49,55.48
"Gari yellow,sold loose",291.53,275.75,302.41,331.25,351.13,366.65,364.82,380.16,385.04,378.16,350.45,300.12,314.33,330.5,303.8,323.38,336.75,370.36,383.22,401.64,446.33,370.36,297.45,190,202,201.08,207.58,202.04,219.04,188.04,179.04,193.62,182.92,179.66,200.02,202.63,208.82,210.82,201.49,227.53,207.57,229.96,224.2,223.86,224.61,231.68,232.75,233.33,201.09,214.61,234,253.59,243.34,282.21,278.88,282.65,1.35,26.26
Mudfish (aro) fresh,876.59,1000,1000,1033.33,1000,1025,1125,1050.54,1100,1125,1016.67,981.68,1000,1020,1066.67,1000,1020,1103.7,1080,1066.67,1000,1103.7,1062.22,999.21,1100,920,910,950,920,927.27,912.05,956.66,911.54,900,950,961,921.03,970,1020,1113.33,1110,1118,1146.67,1142.22,1140,1143.33,1133.33,1140,1140,1145,1200,1266.67,1291.67,1366.67,1450,1475,1.72,29.13
Mudfish : dried,1295.67,1221.43,1240,1552.27,1527.27,1557.58,1570.83,1480.81,1490,1485,1427.27,1715.05,1780.81,1836.36,1893.94,1873.84,1876.62,1844.24,1830.86,1890.74,2038.64,2007.14,1990.91,1996,1945.45,1877.89,1867.64,1891.82,1871.82,1798.73,1791.82,1807.44,1773.08,1791.19,1783.04,1805.79,1789.89,1820,1853.25,1937.15,1900,1919.7,1927.12,1927.58,1943.65,1971.75,1925,1952.73,1943.65,1943.65,1984.34,1975,1981.33,1961.11,1974,1950,-1.22,1.16
Onion bulb,244.92,210.2,227.3,183.37,144.14,140.18,153.61,175,168.1,158,168.48,264.32,239.29,215,232.74,247.96,259.58,270,289.18,301.82,322.74,303.33,296.74,261.22,264.29,262.74,259.05,190.83,178,160.83,140.83,175.03,161.83,189.33,215.93,193.75,173.65,185,130,128.25,130.45,131.95,146.7,149.67,144.09,149.84,143.04,144.29,134.09,134.81,127,142.26,165.6,179.17,177.78,179.31,0.86,19.8
Rice agric sold loose,275.16,275.67,275.86,288.71,299.43,295.02,288.55,245.17,279.74,255.85,250.06,340.31,373.1,379.97,279.43,287.9,282.1,260.34,255.75,258.62,247.51,260.34,263.85,280.29,280.29,274.38,270.93,294.17,304.17,344.17,344.67,321.82,285.97,323.37,274.23,285.76,293.28,310.88,325.68,366.59,343.37,349,366.75,363.07,376.86,393.65,395.66,397.01,388.95,395.2,393.25,368.1,443.1,445.21,431.03,455.17,5.6,25.37
Rice local sold loose,248.69,264.24,308.41,264.57,268.62,273.91,265.75,254.31,248.71,226,211.68,270.23,289.22,235.63,217.39,245.69,254.02,251.15,253.69,254.6,224.64,251.15,243.57,225.47,225.47,229.4,230.83,240.39,261.3,240.39,274.09,228.32,211.21,278.02,273.89,260.54,299.82,255.87,257.81,232.65,245.78,246.06,250.05,254.26,262.54,323.42,304.14,313.5,311.29,312.54,315.6,322.54,375.62,365.52,348.47,372.48,,
Rice Medium Grained,266.85,270.88,275.86,296.74,300.55,305.86,293.76,268.96,275.86,268.97,259.48,337.91,320,328.28,254.31,265.52,260.92,258.62,252.87,241.38,236.02,258.62,255.75,248.28,248.28,228.45,224.14,232.76,232.02,232.76,277.59,249.56,274.05,310.35,325.62,358.62,368.62,305.37,308.24,349.57,327.41,328.23,365.33,364.44,363.01,359.56,386.21,381.84,373.01,373.01,385.7,400.86,406.9,413.79,408.05,488.28,19.66,33.98
"Rice,imported high quality sold loose",356.19,325.56,319.05,295,337.92,334.58,336.25,390.84,391.25,389.83,389.83,372.4,359.58,375,291.67,308.92,320.04,394.44,397.22,403.33,427,394.44,381.82,390.48,390.48,374.07,378.57,381.25,383.29,381.25,350.25,325,333.56,333.33,317.08,359.26,356.94,340.97,346.85,353.33,345.74,357.62,373.33,395.82,405.47,406.46,432.58,433.33,435.05,442.13,466.67,477.08,477.38,475,486.41,501.96,3.2,26.81
